created,modified,plate_number,id,owner_id
2024-10-08 15:56:18.815977,2024-10-08 15:56:18.867188,LH 27 HN GP,LH 27 HN GP,
2024-10-08 16:22:26.295010,2024-10-08 16:22:26.354212,LH 22 YY GP -LJ 74BX GP,LH 22 YY GP -LJ 74BX GP,
2024-10-08 16:24:43.094381,2024-10-08 16:24:43.127821,KR 45 CK GP-XSP 762 GP,KR 45 CK GP-XSP 762 GP,
2024-10-08 16:25:37.885031,2024-10-08 16:25:37.917147,CL 74 RM GP,CL 74 RM GP,
2024-10-08 16:26:19.036595,2024-10-08 16:26:19.071055,KJ 84 KG GP,KJ 84 KG GP,
2024-10-08 16:27:12.177875,2024-10-08 16:27:12.201740,LR 10 LP GP,LR 10 LP GP,
2024-10-08 16:27:49.160725,2024-10-08 16:27:49.180068,HT 61 YR GP,HT 61 YR GP,
2024-10-14 10:54:00.799514,2024-10-14 10:54:00.824539,XSP 762 GP,XSP 762 GP,
2024-10-24 18:46:24.509679,2024-10-24 18:46:24.527969,LJ 74BX GP Trailer,LJ 74BX GP Trailer,
2024-11-28 12:54:57.469642,2024-11-28 12:54:57.469674,LY27 HN GP,LY27 HN GP,
